text,label
Lehenga |,Non-Promotion
monte carlo |,Non-Promotion
LABEL BY RITU KUMAR |,Non-Promotion
Instagram- AJIO LUXE,Non-Promotion
shop by,Non-Promotion
Gym Wear |,Non-Promotion
nike |,Non-Promotion
red tape |,Non-Promotion
AURELIA |,Non-Promotion
women sweaters |,Non-Promotion
Next,Non-Promotion
kids,Non-Promotion
Smart Shirts That Work Hard,Non-Promotion
hm |,Non-Promotion
Pink Tops |,Non-Promotion
marks & spencer |,Non-Promotion
Trendy: Stay trendy with collections that have a mix of latest trends and timeless pieces.,Non-Promotion
help,Non-Promotion
follow us,Non-Promotion
tommy hilfiger |,Non-Promotion
levis |,Non-Promotion
max |,Non-Promotion
sarees |,Non-Promotion
Home & Kitchen Made Simple,Non-Promotion
gap |,Non-Promotion
EASY EXCHANGE,Non-Promotion
louis philippe |,Non-Promotion
AJIO’s,Non-Promotion
Easy Choices for Kids,Non-Promotion
lingerie |,Non-Promotion
shorts |,Non-Promotion
clarks |,Non-Promotion
kurtis,Non-Promotion
Kalamkari Blouse |,Non-Promotion
Discover the Ease of Online Shopping with AJIO,Non-Promotion
w |,Non-Promotion
A Fresh Take on Fashion,Non-Promotion
Final Thoughts,Non-Promotion
Blog,Non-Promotion
Everyday Tshirts That Go the Distance,Non-Promotion
men,Non-Promotion
Promotions Terms & Conditions,Non-Promotion
performax |,Non-Promotion
100% HANDPICKED,Promotion
women tshirts |,Non-Promotion
The,Non-Promotion
Shoes |,Non-Promotion
Step Out in the Right Pair of Shoes,Non-Promotion
"The denim collection at AJIO offers classic, reliable jeans",Promotion
bikini |,Non-Promotion
Monte Carlo |,Non-Promotion
"Seamless Shopping Experience: A hassle-free journey from discovery to checkout, along with quick delivery.",Non-Promotion
Floral Sarees |,Non-Promotion
earrings |,Non-Promotion
BEAUTY,Non-Promotion
women shirts |,Non-Promotion
How does AJIO Super Cash really work?,Non-Promotion
Stay Ahead with New Trends,Non-Promotion
Levi's |,Non-Promotion
HOME & KITCHEN,Non-Promotion
shirts,Non-Promotion
party wear dresses for women |,Non-Promotion
aldo |,Non-Promotion
women shorts |,Non-Promotion
van heusen |,Non-Promotion
What fabrics should I use across various seasons?,Non-Promotion
"help
Track Your Order
Frequently Asked Questions
Returns
Cancellations
Payments
Customer Care
How Do I Redeem My Coupon",Non-Promotion
women shrugs |,Non-Promotion
allen solly |,Non-Promotion
Easy Returns: Return your products without any trouble so that you shop with assurance.,Non-Promotion
automatic watches |,Non-Promotion
KIDS,Non-Promotion
"Track Your Order
Frequently Asked Questions
Returns
Cancellations
Payments
Customer Care
How Do I Redeem My Coupon",Non-Promotion
New Arrivals,Non-Promotion
