text,prediction
Help, Non-Promotion
"Categories
Brands
Luxe
Nykaa Fashion
Beauty Advice
Sign in", Non-Promotion
"Ends In:
03h 38m 52s
Ends In:
03h 38m 52s", Non-Promotion
Brands, Non-Promotion
Categories, Non-Promotion
Up To 60% Off, Promotion
"address icon
Store & Events", Non-Promotion
Store & Events, Promotion
mobile icon, Non-Promotion
Lingerie & Accessories, Non-Promotion
Ends In:, Non-Promotion
Bath & Body, Non-Promotion
"mobile icon
Get App
address icon
Store & Events
giftcard icon
Gift Card
help icon
Help", Non-Promotion
Beauty Advice, Non-Promotion
"Up To 30% Off
Everyday Essentials
Min. 40% Off
Everyday Fragrances
Rakhi Special Edition
Min. 45% Off
Boundless Bodycare", Promotion
Up To 45% Off, Promotion
Hot Pink Sale Is Live!, Non-Promotion
"Min. 40% Off
Everyday Fragrances", Non-Promotion
Pick a Free Gift On ₹799+, Promotion
Min. 40% Off, Promotion
"Ends In:
03h 38m 52s", Non-Promotion
"giftcard icon
Gift Card", Non-Promotion
Extra 10% Off On ₹699*, Non-Promotion
Luxe, Promotion
giftcard icon, Non-Promotion
Mom & Baby, Non-Promotion
"help icon
Help", Non-Promotion
Hair, Non-Promotion
Health & Wellness, Non-Promotion
How may we help you, Non-Promotion
"Makeup
Skin
Hair
Appliances
Bath & Body
Natural
Mom & Baby
Health & Wellness
Men
Fragrance
Lingerie & Accessories", Non-Promotion
Natural, Non-Promotion
Nykaa - The Online Beauty Store, Promotion
address icon, Non-Promotion
Sign in, Non-Promotion
Fragrance, Non-Promotion
"Up To 30% Off
Everyday Essentials", Non-Promotion
Free Gift On ₹799+, Promotion
Nykaa Fashion, Promotion
"Categories
Brands
Luxe
Nykaa Fashion
Beauty Advice", Promotion
"mobile icon
Get App", Non-Promotion
"Up To 50% Off
Free Gift On ₹799+", Promotion
Min. 45% Off, Promotion
Get App, Non-Promotion
"Min. 45% Off
Boundless Bodycare", Promotion
Everyday Fragrances, Non-Promotion
Skin, Non-Promotion
Makeup, Non-Promotion
Appliances, Non-Promotion
Rakhi Special Edition, Promotion
help icon, Non-Promotion
"Up To 45% Off
Pick a Free Gift On ₹799+", Promotion
Everyday Essentials, Non-Promotion
Gift Card, Promotion
Men, Non-Promotion
Boundless Bodycare, Non-Promotion
03h 38m 52s, Non-Promotion
"Up To 60% Off
Extra 10% Off On ₹699*", Promotion
Up To 30% Off, Promotion
Up To 50% Off, Non-Promotion
